ShopName,URL_Shop,province,Category,Type,name,price,unit,standard
@หอมท่าช้าง,www.dgtfarm.com/HomThaChang,สิงห์บุรี,สินค้าแปรรูป,พริกป่น,พริกป่น (แพ็ค),50,แพ็ค,GAP
@หอมท่าช้าง,www.dgtfarm.com/HomThaChang,สิงห์บุรี,ผลไม้,ลองกอง,ลองกอง,40,กิโลกรัม,GAP
4 เผ่าไทย,www.dgtfarm.com/pornsri,ศรีสะเกษ,สินค้าแปรรูป,เห็ดอบกรอบ,เห็ดอบกรอบ ขวัญกะวัลย์,40,กระป๋อง,organic
7daysfarm,www.dgtfarm.com/sevendaysfarm,นครสวรรค์,ผลไม้,ขนุนทองประเสริฐ,ขนุนคัดเกรด/ขนุนสดใหม่,18,กิโลกรัม,GAP
7daysfarm,www.dgtfarm.com/sevendaysfarm,นครสวรรค์,สินค้าแปรรูป,นมอัดเม็ด,นมปรุงแต่งอัดเม็ด กลิ่นสตรอเบอร์รี่,5,ซอง,GAP
7daysfarm,www.dgtfarm.com/sevendaysfarm,นครสวรรค์,สินค้าแปรรูป,นมอัดเม็ด,นมปรุงแต่งอัดเม็ด รสช็อกโกแลต กลิ่นมอลต์,5,ซอง,GAP
7daysfarm,www.dgtfarm.com/sevendaysfarm,นครสวรรค์,สินค้าแปรรูป,น้ำสมุนไพร,น้ำมะกรูดคั้นสด,100,ขวด,Organic Thailand
7daysfarm,www.dgtfarm.com/sevendaysfarm,นครสวรรค์,สินค้าแปรรูป,น้ำสมุนไพร,น้ำสมุนไพรเมืองพระรถ (น้ำกระเจี๊ยบ),15,ขวด,Organic Thailand
7daysfarm,www.dgtfarm.com/sevendaysfarm,นครสวรรค์,สินค้าแปรรูป,น้ำสมุนไพร,น้ำสมุนไพรเมืองพระรถ (น้ำกระเจี๊ยบ-พุทราจีน),15,ขวด,Organic Thailand
7daysfarm,www.dgtfarm.com/sevendaysfarm,นครสวรรค์,สินค้าแปรรูป,น้ำสมุนไพร,น้ำสมุนไพรเมืองพระรถ (น้ำเก๊กฮวย),15,ขวด,Organic Thailand
7daysfarm,www.dgtfarm.com/sevendaysfarm,นครสวรรค์,สินค้าแปรรูป,น้ำสมุนไพร,น้ำสมุนไพรเมืองพระรถ (น้ำแก่นฝาง),15,ขวด,Organic Thailand
7daysfarm,www.dgtfarm.com/sevendaysfarm,นครสวรรค์,สินค้าแปรรูป,น้ำสมุนไพร,น้ำสมุนไพรเมืองพระรถ (น้ำใบเตย),15,ขวด,Organic Thailand
7daysfarm,www.dgtfarm.com/sevendaysfarm,นครสวรรค์,สินค้าแปรรูป,น้ำสมุนไพร,น้ำสมุนไพรเมืองพระรถ (น้ำมะขาม),15,ขวด,Organic Thailand
7daysfarm,www.dgtfarm.com/sevendaysfarm,นครสวรรค์,สินค้าแปรรูป,น้ำสมุนไพร,น้ำสมุนไพรเมืองพระรถ (น้ำมะตูม),15,ขวด,Organic Thailand
7daysfarm,www.dgtfarm.com/sevendaysfarm,นครสวรรค์,สินค้าแปรรูป,น้ำสมุนไพร,น้ำสมุนไพรเมืองพระรถ (น้ำอัญชัญ-ใบเตย),15,ขวด,Organic Thailand
7daysfarm,www.dgtfarm.com/sevendaysfarm,นครสวรรค์,สินค้าแปรรูป,น้ำสมุนไพร,น้ำสมุนไพรเมืองพระรถ (น้ำอัญชัญ-มะนาว),15,ขวด,Organic Thailand
7daysfarm,www.dgtfarm.com/sevendaysfarm,นครสวรรค์,สินค้าแปรรูป,น้ำอ้อยออร์แกนิค,น้ำอ้อยออร์แกนิคลุง JR,12,กิโลกรัม,Organic Thailand
7daysfarm,www.dgtfarm.com/sevendaysfarm,นครสวรรค์,ผัก,ลูกมะกรูด,ผลมะกรูดสด,280,ลูก,GAP
Ainthira Infinity,www.dgtfarm.com/ainthira,ราชบุรี,ผลไม้,มังคุด,มังคุดอินทรีย์ ขนาด 10 กก.,1000,กล่อง,OTP
Ainthira Infinity,www.dgtfarm.com/ainthira,ราชบุรี,ผลไม้,มังคุด,มังคุดอินทรีย์ ขนาด 5 กก.,500,กล่อง,OTP
ALINDA SHOP,www.dgtfarm.com/ALINDASHOP,สมุทรสงคราม,สินค้าแปรรูป,น้ำมันมะพร้าวสกัดเย็น,น้ำมันมะพร้าวสกัดเย็น 100 %,300,ขวด,อย.
amatika,www.dgtfarm.com/amatika,กำแพงเพชร,สินค้าแปรรูป,เยลลี่มะม่วง,เยลลี่มะม่วงน้ำดอกไม้ บรรจุกระปุก,65,กระปุก,organic thailand
B. Foods,www.dgtfarm.com/BFoods,กรุงเทพมหานคร,สินค้าแปรรูป,ซอสน้ำพริกเผา,ซอสน้ำพริกเผา บรรจุกระปุก 300 มล.,120,กระปุก,GAP
Baanhugkan,www.dgtfarm.com/baanhugkan,กาญจนบุรี,ผลไม้,สับปะรด,สับปะรด พันธุ์ทองระยอง,220,กล่อง,
Bananafun_maesupunnee,www.dgtfarm.com/Measupunnee,สุโขทัย,ข้าวและธัญพืช,ข้าวหอมมะลิ,เชื้อราบิวเวอร์เรีย,100,ถุง,otop
Bananafun_maesupunnee,www.dgtfarm.com/Measupunnee,สุโขทัย,ข้าวและธัญพืช,ข้าวหอมมะลิ,ไตรโครเดอร์มา,100,ถุง,otop
Believe Farm,www.dgtfarm.com/Believefarmshop,เพชรบูรณ์,ข้าวและธัญพืช,ข้าวกล้องไรซ์เบอร์รี่อินทรีย์,ข้าวกล้องไรซ์เบอร์รี่อินทรีย์ 1 Kg.,160,ถุง,Organic Thailand
Believe Farm,www.dgtfarm.com/Believefarmshop,เพชรบูรณ์,ข้าวและธัญพืช,ข้าวหอมมะลิ,ข้าวหอมมะลิ,960,ถุง,Organic Thailand
Believe Farm,www.dgtfarm.com/Believefarmshop,เพชรบูรณ์,ข้าวและธัญพืช,ข้าวหอมมะลิอินทรีย์,ข้าวหอมมะลิออร์แกนิก 1 Kg.,140,ถุง,Organic Thailand
Believe Farm,www.dgtfarm.com/Believefarmshop,เพชรบูรณ์,ข้าวและธัญพืช,ข้าวหอมมะลิอินทรีย์,ข้าวหอมมะลิอินทรีย์ เกรด A 5 Kg.,275,ถุง,Organic Thailand
BK Farm,www.dgtfarm.com/bkfarm,พัทลุง,ผลไม้,เมล่อน,เมล่อนญี่ปุ่นพรีเมี่ยม,250,กิโลกรัม,GAP
BK Farm,www.dgtfarm.com/bkfarm,พัทลุง,สินค้าแปรรูป,แยมเมล่อน,แยมเมล่อน,100,กระปุก,GAP
BK Farm,www.dgtfarm.com/bkfarm,พัทลุง,สินค้าแปรรูป,แยมเมล่อน,แยมเมล่อนแบบกล่อง,200,กล่อง,GAP
BK Farm,www.dgtfarm.com/bkfarm,พัทลุง,สินค้าแปรรูป,ถั่วดาวอินคา,สะเบียง อินคานัท มิกซ์ ( SABING INCA NUT MIX.),175,กระปุก,GAP
CHIDJANFARM,www.dgtfarm.com/CHIDJANFARM,ชุมพร,ผัก,กะหล่ำปลีเขียว,กะหล่ำปลี (ขนาด 2.0-2.5 ก.ก.),90,ลูก,GAP
DGT TEST,www.dgtfarm.com/test123,กรุงเทพมหานคร,ผลไม้,ฝรั่งกิมจู,ฝรั่งกิมจู,200,กิโลกรัม,GAP
DREAMERFARM,www.dgtfarm.com/DREAMERFARM,เลย,ผลไม้,ส้มโอขาวแตงกวา,ส้มโอขาวแตงกวา /ทองดี/ทับทิมสยาม,60,กิโลกรัม,ORGANIC
Farm DeeMak,www.dgtfarm.com/FarmDeeMak,สุราษฎร์ธานี,ผัก,กรีนโอ้ค,กรีนโอ้ค,100,กิโลกรัม,GAP
Farm DeeMak,www.dgtfarm.com/FarmDeeMak,สุราษฎร์ธานี,ผลไม้,ทุเรียนหมอนทอง,ทุเรียนหมอนทอง,100,กิโลกรัม,GAP
Farm DeeMak,www.dgtfarm.com/FarmDeeMak,สุราษฎร์ธานี,ผัก,ผักกาดแก้ว,ผักกาดแก้ว,100,กิโลกรัม,GAP
Farm to Home,www.dgtfarm.com/FarmtoHome,เชียงใหม่,ผลไม้,มะม่วงฟ้าลั่น,มะม่วงฟ้าลั่น,200,กล่อง,PGS
FARMSOOKLEKLEK,www.dgtfarm.com/farmsookleklek,กำแพงเพชร,ผัก,ถั่วฝักยาว,ถั่วฝักยาว,50,กิโลกรัม,PGS
Flourish Green Farm,www.dgtfarm.com/FlourishGreenFarm,นนทบุรี,ผลไม้,มะม่วงหนังกลางวัน,มะม่วงมหาชนก,389,กล่อง,GAP
Free Life Designs Shop,www.dgtfarm.com/FreeLifeDesignsShop,สระบุรี,สินค้าแปรรูป,กะปิกุ้งเคย,กะปิเคย ออร์แกนิค ตราโอชะ,220,กระปุก,GI
G&G FARMSTAY,www.dgtfarm.com/GGFARMSTAY,นครสวรรค์,ข้าวและธัญพืช,ข้าวกล้องไรซ์เบอร์รี่อินทรีย์,ข้าวกล้องไรซ์เบอร์รี่ ขวัญสุดใจไรซ์เบอรี่,90,กิโลกรัม,Organic Thailand
Garden Three,www.dgtfarm.com/GardenThree,หนองคาย,ข้าวและธัญพืช,ข้าวขาว,ข้าวขาว กข 43,55,กิโลกรัม,Organic Thailand
Garden Three,www.dgtfarm.com/GardenThree,หนองคาย,สินค้าแปรรูป,กล้วยน้ำว้าออร์แกนิคอบแห้ง,ผงกล้วยน้ำว้า 100%,180,กระปุก,Organic Thailand
HappyBeeFarmer,www.dgtfarm.com/HappyBeeFarmer,สมุทรสงคราม,ผลไม้,มะพร้าว,มะพร้าวกะทิ,300,ลูก,GAP
Herb Char,www.dgtfarm.com/wienggreenmarket,พะเยา,ผลไม้,ชมพู่มะเหมียว,ชมพู่มะเหมี่ยว,100,กิโลกรัม,GAP
Herb Char,www.dgtfarm.com/wienggreenmarket,พะเยา,สินค้าแปรรูป,เมี่ยงคำ,เมี่ยงคำ ลำพญา,200,ถุง,GAP
Honey Myhome,www.dgtfarm.com/honeymyhome,เชียงราย,ข้าวและธัญพืช,ข้าว กข 43,ข้าว กข 43,80,แพ็ค,GMP
Honey Myhome,www.dgtfarm.com/honeymyhome,เชียงราย,ข้าวและธัญพืช,ข้าวกล้องไรซ์เบอร์รี่อินทรีย์,ข้าวกล้องไรซ์เบอร์รี่ ไพศาลสุวรรณ์,90,กิโลกรัม,GMP
Honey Myhome,www.dgtfarm.com/honeymyhome,เชียงราย,ข้าวและธัญพืช,ข้าวกล้องหอมมะลิ,ข้าวกล้องหอมมะลิ ไพศาลสุวรรณ์,60,กิโลกรัม,GMP
Honey Myhome,www.dgtfarm.com/honeymyhome,เชียงราย,ข้าวและธัญพืช,ข้าวหอมมะลิ,ข้าวหอมมะลิ ไพศาลสุวรรณ์,50,กิโลกรัม,GMP
Honey Myhome,www.dgtfarm.com/honeymyhome,เชียงราย,ข้าวและธัญพืช,ข้าวเหนียวดำ,ข้าวเหนียวดำ,80,แพ็ค,GMP
Honey Myhome,www.dgtfarm.com/honeymyhome,เชียงราย,สินค้าแปรรูป,น้ำพริก,น้ำพริกปลาร้า (เจ),60,กระปุก,GMP
Honey Myhome,www.dgtfarm.com/honeymyhome,เชียงราย,ผัก,ผักกูด,ผักกูดกำแพงเพชร,60,กิโลกรัม,GMP
Honey Myhome,www.dgtfarm.com/honeymyhome,เชียงราย,ผัก,เรดโอ้ค,เรคโอ๊ค ผัก คลองเรือฟาร์ม,80,กิโลกรัม,GMP
Hug Hed Farm ฮักเห็ด ฟาร์ม,www.dgtfarm.com/HugHedFarm,ขอนแก่น,ผลไม้,กล้วยน้ำว้า,กล้วยน้ำว้า,35,กิโลกรัม,Organic Thailand
Hug Hed Farm ฮักเห็ด ฟาร์ม,www.dgtfarm.com/HugHedFarm,ขอนแก่น,ข้าวและธัญพืช,ข้าวก่ำ,ข้าวก่ำ,50,กิโลกรัม,Organic Thailand
Hug Hed Farm ฮักเห็ด ฟาร์ม,www.dgtfarm.com/HugHedFarm,ขอนแก่น,ผลไม้,มะม่วงน้ำดอกไม้สีทอง,มะม่วงน้ำดอกไม้สีทองคุณภาพ,50,กิโลกรัม,Organic Thailand
Hug Hed Farm ฮักเห็ด ฟาร์ม,www.dgtfarm.com/HugHedFarm,ขอนแก่น,สินค้าแปรรูป,ไส้อั่ว,ลิเกไส้กรอกอีสาน,200,กิโลกรัม,Organic Thailand
Hug Hed Farm ฮักเห็ด ฟาร์ม,www.dgtfarm.com/HugHedFarm,ขอนแก่น,ผลไม้,ส้มโอ,ส้มโอ-ทดสอบ,100,กิโลกรัม,Organic Thailand
JANHom,www.dgtfarm.com/Janhom,กาญจนบุรี,สินค้าแปรรูป,ชาดาวอินคา (ซอง),ชาวดาวอินคา ไร่ชัชวาล,45,แพ็ค,otop
JariFig,www.dgtfarm.com/JariFig,ราชบุรี,ผลไม้,ทุเรียนหมอนทอง,ทุเรียนหมอนทอง,120,กิโลกรัม,อย.
JariFig,www.dgtfarm.com/JariFig,ราชบุรี,สินค้าแปรรูป,ผักเคลผง,ผักเคลผง,350,ถุง,อย.
jojo farm,www.dgtfarm.com/jojofarm,สงขลา,สินค้าแปรรูป,น้ำมะม่วงหาวมะนาวโห่,มะม่วงหาวมะนาวโห่อบแห้ง รับรองจากมาตรฐาน ORGANIC THAILAND,65,กระปุก,gap
