index,Deposit3M,Confidence_Index,gold_export,gold_import,crude_oil,dollar_exchange_rate,Inflation_rate,set_index,gols_price
1,1.9,43.3,489.43,10415.47,48.24,32.72,-2.04,1581.25,19026.97
2,1.15,42.4,169.12,22037.42,49.76,32.35,-2.08,1587.01,18629.75
3,1.15,40,173.11,40473.98,47.6,32.53,-5.66,1505.94,17907.6
4,1.05,38.8,256.57,10793.26,59.63,33.01,-3,1526.74,18128.6
5,1,38.9,437.54,8626.1,60.3,33.69,0.26,1496.05,18680.28
6,1,38.9,170.76,10358.05,59.47,33.79,-0.67,1504.55,18547.35
7,1,33.7,154.61,30991.82,47.12,34.99,-0.21,1440.12,18107.45
8,1,34.6,786.34,15421.42,49.2,35.82,2.67,1382.41,18399.39
9,1,35.4,415.4,7652.59,45.09,36.36,2.31,1349,18822.31
10,1,36.2,367.7,6826.6,46.59,35.59,2.26,1394.94,19183.81
11,1.6,37.6,270.43,48318.82,41.65,35.79,3.87,1359.7,18127.12
12,1.6,37.2,164.97,35286.59,37.04,36.02,-1.06,1288.02,17917.91
13,1.6,36.4,239.25,13614.35,33.62,35.71,-2.15,1300.98,18395.75
14,1,38.1,486.98,7398.21,33.75,35.61,4.67,1332.37,19786.96
15,1,36,618.36,18081.62,38.34,35.1,-5.51,1407.7,20364.37
16,1,35.8,288.95,6998.77,45.92,34.89,-0.56,1404.61,20264.79
17,1,35.5,750.19,17930.47,49.1,35.76,-0.84,1424.28,20646.71
18,1,35.1,785.26,11842.75,48.33,35.1,-1.13,1444.99,20825.18
19,1,33.8,492.93,12180.21,41.6,34.76,-3.7,1524.07,21727.31
20,1,38.9,430.48,12458,44.7,34.62,-0.49,1548.44,21555.19
21,1,36.2,362.95,14823.77,48.24,34.58,-6.94,1483.21,21343.53
22,1,36.4,222.83,31314.86,46.86,35.02,0.55,1495.72,20623.06
23,1,35.7,460.7,26683.19,49.44,35.69,-1.92,1510.24,20289.33
24,1,39.1,424.93,40314.44,53.72,35.84,0.6,1542.94,19121
25,1,39.2,612.32,43407.7,52.81,35.08,0.26,1577.31,19597.64
26,1,40.4,656.32,17055.79,54.01,34.93,3.06,1559.56,19998.02
27,1,38.5,449.75,27044.34,50.6,34.34,-4.7,1575.11,19894.97
28,1,36.1,358.68,14106.83,49.33,34.58,-6.23,1566.32,20231.38
29,1,40.3,214.92,22034.2,48.32,34.03,0.09,1561.66,19906.76
30,1,39.5,422.44,32283.84,46.04,33.92,-1.99,1574.74,19888.75
31,1,38.6,206.42,50446.39,50.17,33.29,-2.28,1576.08,19340.08
32,1,38.4,402.7,22929.94,47.23,33.17,-0.52,1616.16,19734.39
33,1,39.5,480.57,21423.29,51.67,33.32,2.86,1673.16,20200.7
34,1,39.7,124.14,25740.83,54.38,33.22,0.51,1721.37,19731.91
35,1,40,129.24,35196.42,57.4,32.64,0.76,1697.39,19565.15
36,1,40.6,338.83,29765.48,60.42,32.55,1.5,1753.71,19184.4
37,1,41,486.06,20459.71,64.73,31.34,0.99,1826.86,19674.31
38,1,40.3,249.59,26994.94,61.64,31.48,-1.71,1830.13,19455.33
39,1,40,402.01,48084.09,64.94,31.17,-0.74,1776.26,19217.83
40,1,39.4,490.51,15362.38,68.57,31.54,-1.5,1780.11,19353.26
41,1,37.8,413.15,23551.71,67.04,32.05,-4.06,1726.97,19308.23
42,1,36.3,464.26,17771.32,74.15,33.02,-3.97,1595.58,19282.94
43,1,37.1,241.08,39160.16,68.76,33.19,2.2,1701.79,19108.6
44,1,37.6,346.96,26677.5,69.8,32.75,1.35,1721.58,18432.88
45,1,38,265.71,33265.39,73.25,32.32,1.06,1756.41,18122.26
46,1,35.5,404.07,28409.31,65.31,33.11,-6.58,1669.09,18454.77
47,1,36,314.38,22573.97,50.93,32.96,1.41,1641.8,18644.47
48,1.15,37.3,407.21,11803.51,45.41,32.33,3.61,1563.88,18947.08
49,1.15,50.5,307.29,19537.85,53.79,31.2,0.71,1641.73,19035.91
50,1.15,51.5,512.12,11870.28,57.22,31.57,1.98,1653.48,19130.66
51,1.15,52,404.93,15897.52,60.14,31.72,0.97,1638.65,19127.26
52,1.15,51.3,209.7,24271.88,63.91,31.89,-1.35,1673.52,18992.56
53,1.15,51.2,150.08,15932.17,53.5,31.52,-0.19,1620.22,18901.71
54,1.15,48.1,292.96,20944.79,58.47,30.68,-6.05,1730.34,19549.12
55,1.15,47.8,323.77,18837.41,58.58,30.7,-0.62,1711.97,20161.12
56,1.15,47.2,324.4,19928.27,55.1,30.6,-1.26,1654.92,21333.49
57,1.15,46,641.94,24144.73,54.07,30.59,-2.54,1637.22,21361.05
58,1.15,46.3,367.14,24720.75,54.18,30.18,0.65,1601.49,21017.37
59,1,44.5,330.05,27588.5,55.17,30.19,-3.89,1590.59,20632.76
60,1,44.5,243.76,13388.57,61.06,29.76,-2.31,1579.84,20724.89
