Date,Deposit3M,Confidence_Index,gold_export,gold_import,crude_oil,dollar_exchange_rate,Inflation_rate,set_index,gols_price
Jan-15,1.90000,43.30000,489.43000,10415.47000,48.24000,32.72000,-2.04000,1581.25000,19026.97000
Feb-15,1.15000,42.40000,169.12000,22037.42000,49.76000,32.35000,-2.08000,1587.01000,18629.75000
Mar-15,1.15000,40.00000,173.11000,40473.98000,47.60000,32.53000,-5.66000,1505.94000,17907.60000
Apr-15,1.05000,38.80000,256.57000,10793.26000,59.63000,33.01000,-3.00000,1526.74000,18128.60000
May-15,1.00000,38.90000,437.54000,8626.10000,60.30000,33.69000,0.26000,1496.05000,18680.28000
Jun-15,1.00000,38.90000,170.76000,10358.05000,59.47000,33.79000,-0.67000,1504.55000,18547.35000
Jul-15,1.00000,33.70000,154.61000,30991.82000,47.12000,34.99000,-0.21000,1440.12000,18107.45000
Aug-15,1.00000,34.60000,786.34000,15421.42000,49.20000,35.82000,2.67000,1382.41000,18399.39000
Sep-15,1.00000,35.40000,415.40000,7652.59000,45.09000,36.36000,2.31000,1349.00000,18822.31000
Oct-15,1.00000,36.20000,367.70000,6826.60000,46.59000,35.59000,2.26000,1394.94000,19183.81000
Nov-15,1.60000,37.60000,270.43000,48318.82000,41.65000,35.79000,3.87000,1359.70000,18127.12000
Dec-15,1.60000,37.20000,164.97000,35286.59000,37.04000,36.02000,-1.06000,1288.02000,17917.91000
Jan-16,1.60000,36.40000,239.25000,13614.35000,33.62000,35.71000,-2.15000,1300.98000,18395.75000
Feb-16,1.00000,38.10000,486.98000,7398.21000,33.75000,35.61000,4.67000,1332.37000,19786.96000
Mar-16,1.00000,36.00000,618.36000,18081.62000,38.34000,35.10000,-5.51000,1407.70000,20364.37000
Apr-16,1.00000,35.80000,288.95000,6998.77000,45.92000,34.89000,-0.56000,1404.61000,20264.79000
May-16,1.00000,35.50000,750.19000,17930.47000,49.10000,35.76000,-0.84000,1424.28000,20646.71000
Jun-16,1.00000,35.10000,785.26000,11842.75000,48.33000,35.10000,-1.13000,1444.99000,20825.18000
Jul-16,1.00000,33.80000,492.93000,12180.21000,41.60000,34.76000,-3.70000,1524.07000,21727.31000
Aug-16,1.00000,38.90000,430.48000,12458.00000,44.70000,34.62000,-0.49000,1548.44000,21555.19000
Sep-16,1.00000,36.20000,362.95000,14823.77000,48.24000,34.58000,-6.94000,1483.21000,21343.53000
Oct-16,1.00000,36.40000,222.83000,31314.86000,46.86000,35.02000,0.55000,1495.72000,20623.06000
Nov-16,1.00000,35.70000,460.70000,26683.19000,49.44000,35.69000,-1.92000,1510.24000,20289.33000
Dec-16,1.00000,39.10000,424.93000,40314.44000,53.72000,35.84000,0.60000,1542.94000,19121.00000
Jan-17,1.00000,39.20000,612.32000,43407.70000,52.81000,35.08000,0.26000,1577.31000,19597.64000
Feb-17,1.00000,40.40000,656.32000,17055.79000,54.01000,34.93000,3.06000,1559.56000,19998.02000
Mar-17,1.00000,38.50000,449.75000,27044.34000,50.60000,34.34000,-4.70000,1575.11000,19894.97000
Apr-17,1.00000,36.10000,358.68000,14106.83000,49.33000,34.58000,-6.23000,1566.32000,20231.38000
May-17,1.00000,40.30000,214.92000,22034.20000,48.32000,34.03000,0.09000,1561.66000,19906.76000
Jun-17,1.00000,39.50000,422.44000,32283.84000,46.04000,33.92000,-1.99000,1574.74000,19888.75000
Jul-17,1.00000,38.60000,206.42000,50446.39000,50.17000,33.29000,-2.28000,1576.08000,19340.08000
Aug-17,1.00000,38.40000,402.70000,22929.94000,47.23000,33.17000,-0.52000,1616.16000,19734.39000
Sep-17,1.00000,39.50000,480.57000,21423.29000,51.67000,33.32000,2.86000,1673.16000,20200.70000
Oct-17,1.00000,39.70000,124.14000,25740.83000,54.38000,33.22000,0.51000,1721.37000,19731.91000
Nov-17,1.00000,40.00000,129.24000,35196.42000,57.40000,32.64000,0.76000,1697.39000,19565.15000
Dec-17,1.00000,40.60000,338.83000,29765.48000,60.42000,32.55000,1.50000,1753.71000,19184.40000
Jan-18,1.00000,41.00000,486.06000,20459.71000,64.73000,31.34000,0.99000,1826.86000,19674.31000
Feb-18,1.00000,40.30000,249.59000,26994.94000,61.64000,31.48000,-1.71000,1830.13000,19455.33000
Mar-18,1.00000,40.00000,402.01000,48084.09000,64.94000,31.17000,-0.74000,1776.26000,19217.83000
Apr-18,1.00000,39.40000,490.51000,15362.38000,68.57000,31.54000,-1.50000,1780.11000,19353.26000
May-18,1.00000,37.80000,413.15000,23551.71000,67.04000,32.05000,-4.06000,1726.97000,19308.23000
