Index,Deposit3M,Confidence_Index,gold_export,gold_import,crude_oil,dollar_exchange_rate,Inflation_rate,set_index,gols_price
1,1.9,43.3,489.43,10415.47,48.24,32.72,-2.04,1581.25,19026.97
2,1.15,42.4,169.12,22037.42,49.76,32.35,-2.08,1587.01,18629.75
3,1.15,40,173.11,40473.98,47.6,32.53,-5.66,1505.94,17907.6
4,1.05,38.8,256.57,10793.26,59.63,33.01,-3,1526.74,18128.6
5,1,38.9,437.54,8626.1,60.3,33.69,0.26,1496.05,18680.28
6,1,38.9,170.76,10358.05,59.47,33.79,-0.67,1504.55,18547.35
7,1,33.7,154.61,30991.82,47.12,34.99,-0.21,1440.12,18107.45
8,1,34.6,786.34,15421.42,49.2,35.82,2.67,1382.41,18399.39
9,1,35.4,415.4,7652.59,45.09,36.36,2.31,1349,18822.31
10,1,36.2,367.7,6826.6,46.59,35.59,2.26,1394.94,19183.81
11,1.6,37.6,270.43,48318.82,41.65,35.79,3.87,1359.7,18127.12
12,1.6,37.2,164.97,35286.59,37.04,36.02,-1.06,1288.02,17917.91
13,1.6,36.4,239.25,13614.35,33.62,35.71,-2.15,1300.98,18395.75
14,1,38.1,486.98,7398.21,33.75,35.61,4.67,1332.37,19786.96
15,1,36,618.36,18081.62,38.34,35.1,-5.51,1407.7,20364.37
16,1,35.8,288.95,6998.77,45.92,34.89,-0.56,1404.61,20264.79
17,1,35.5,750.19,17930.47,49.1,35.76,-0.84,1424.28,20646.71
18,1,35.1,785.26,11842.75,48.33,35.1,-1.13,1444.99,20825.18
19,1,33.8,492.93,12180.21,41.6,34.76,-3.7,1524.07,21727.31
20,1,38.9,430.48,12458,44.7,34.62,-0.49,1548.44,21555.19
21,1,36.2,362.95,14823.77,48.24,34.58,-6.94,1483.21,21343.53
22,1,36.4,222.83,31314.86,46.86,35.02,0.55,1495.72,20623.06
23,1,35.7,460.7,26683.19,49.44,35.69,-1.92,1510.24,20289.33
24,1,39.1,424.93,40314.44,53.72,35.84,0.6,1542.94,19121
25,1,39.2,612.32,43407.7,52.81,35.08,0.26,1577.31,19597.64
26,1,40.4,656.32,17055.79,54.01,34.93,3.06,1559.56,19998.02
27,1,38.5,449.75,27044.34,50.6,34.34,-4.7,1575.11,19894.97
28,1,36.1,358.68,14106.83,49.33,34.58,-6.23,1566.32,20231.38
29,1,40.3,214.92,22034.2,48.32,34.03,0.09,1561.66,19906.76
30,1,39.5,422.44,32283.84,46.04,33.92,-1.99,1574.74,19888.75
31,1,38.6,206.42,50446.39,50.17,33.29,-2.28,1576.08,19340.08
32,1,38.4,402.7,22929.94,47.23,33.17,-0.52,1616.16,19734.39
33,1,39.5,480.57,21423.29,51.67,33.32,2.86,1673.16,20200.7
34,1,39.7,124.14,25740.83,54.38,33.22,0.51,1721.37,19731.91
35,1,40,129.24,35196.42,57.4,32.64,0.76,1697.39,19565.15
36,1,40.6,338.83,29765.48,60.42,32.55,1.5,1753.71,19184.4
37,1,41,486.06,20459.71,64.73,31.34,0.99,1826.86,19674.31
38,1,40.3,249.59,26994.94,61.64,31.48,-1.71,1830.13,19455.33
39,1,40,402.01,48084.09,64.94,31.17,-0.74,1776.26,19217.83
40,1,39.4,490.51,15362.38,68.57,31.54,-1.5,1780.11,19353.26
41,1,37.8,413.15,23551.71,67.04,32.05,-4.06,1726.97,19308.23
42,1,36.3,464.26,17771.32,74.15,33.02,-3.97,1595.58,19282.94
43,1,37.1,241.08,39160.16,68.76,33.19,2.2,1701.79,19108.6
44,1,37.6,346.96,26677.5,69.8,32.75,1.35,1721.58,18432.88
45,1,38,265.71,33265.39,73.25,32.32,1.06,1756.41,18122.26
46,1,35.5,404.07,28409.31,65.31,33.11,-6.58,1669.09,18454.77
47,1,36,314.38,22573.97,50.93,32.96,1.41,1641.8,18644.47
48,1.15,37.3,407.21,11803.51,45.41,32.33,3.61,1563.88,18947.08
49,1.15,50.5,307.29,19537.85,53.79,31.2,0.71,1641.73,19035.91
50,1.15,51.5,512.12,11870.28,57.22,31.57,1.98,1653.48,19130.66
51,1.15,52,404.93,15897.52,60.14,31.72,0.97,1638.65,19127.26
52,1.15,51.3,209.7,24271.88,63.91,31.89,-1.35,1673.52,18992.56
53,1.15,51.2,150.08,15932.17,53.5,31.52,-0.19,1620.22,18901.71
54,1.15,48.1,292.96,20944.79,58.47,30.68,-6.05,1730.34,19549.12
55,1.15,47.8,323.77,18837.41,58.58,30.7,-0.62,1711.97,20161.12
56,1.15,47.2,324.4,19928.27,55.1,30.6,-1.26,1654.92,21333.49
57,1.15,46,641.94,24144.73,54.07,30.59,-2.54,1637.22,21361.05
58,1.15,46.3,367.14,24720.75,54.18,30.18,0.65,1601.49,21017.37
59,1,44.5,330.05,27588.5,55.17,30.19,-3.89,1590.59,20632.76
60,1,44.5,243.76,13388.57,61.06,29.76,-2.31,1579.84,20724.89
61,0.9,44.1,342.14,9636.26,51.56,31.2,-0.9,1514.14,21941.57
62,0.7,43.1,285.44,10871.12,44.76,31.51,-2.27,1340.52,23165.69
63,0.7,37.5,351.5,33243.45,20.48,32.74,0.29,1253.77,23549.89
64,0.5,33.3,566.24,2189.88,18.84,32.45,-1.7,1301.66,25105.54
65,0.38,38.1,449.29,2905.46,35.49,31.81,-0.79,1342.85,25436.73
66,0.38,42.5,260.61,9687.63,39.27,30.9,0.05,1339.03,25035.57
67,0.38,41,390.47,3027.93,40.27,31.25,-3.53,1328.53,26714.73
68,0.38,43,386.18,7683.84,42.61,31.07,4.88,1310.66,28456.49
69,0.38,45.1,504,14315.24,40.22,31.6,4.88,1237.04,27949.21
70,0.38,44.6,231.67,7890.77,35.79,31.14,-1.11,1307.41,27551.9
71,0.38,46.3,164.99,46182.85,45.34,30.28,3.81,1408.31,26422.06
72,0.38,46.3,191.14,10334.94,48.52,30.04,-0.1,1449.35,25891.03
73,0.38,43.2,120.9,35872.83,52.2,29.86,-6.7,1466.98,25983.07
74,0.38,45.5,102.44,38985.56,61.5,30.47,5.32,1496.78,25188.34
75,0.38,47.5,239.13,48231.44,59.16,31.24,4.4,1587.21,24581.66
76,0.38,43.5,217.88,7771.5,63.58,31.14,-0.37,1583.13,25490.96
77,0.38,41.6,649.74,6390.69,66.32,31.19,-4.37,1593.59,26736.99
78,0.38,42.7,435.93,22764.18,73.47,32.02,2.64,1587.79,26722.42
79,0.38,36.7,550.52,7398.75,73.95,32.89,-2.09,1521.92,27291.37
80,0.38,37.2,400.58,12110.74,68.5,32.22,1.36,1638.75,27395.29
81,0.38,42.1,242.11,24254.26,75.03,33.67,0.17,1605.68,27275.17
82,0.38,43.4,336.71,13464.67,83.57,33.29,3.09,1623.43,27522.98
83,0.38,45.2,402.45,12267.64,66.18,33.71,4.15,1568.69,27948.04
84,0.38,47,247.91,38118,75.21,33.23,3.98,1657.62,27882.05
85,0.38,44.6,196,17806.47,88.15,33.22,-5.11,1648.81,27994.11
86,0.38,44.6,739.37,36427.59,73.85,32.67,0.87,1685.18,28088.95
87,0.38,43.8,516.82,8119.33,80.95,33.28,-1.79,1695.24,29959.53
88,0.38,45.7,464.26,14180.82,81.83,34.24,4.34,1667.44,30340.41
89,0.38,44.7,261.6,45335.5,81.01,34.3,-2.19,1663.41,29546.84
90,0.38,44.3,567.25,21906.3,74.93,35.3,-0.89,1568.33,29775.41
91,0.38,45.5,480.09,28766.46,78.25,36.29,2.71,1576.41,29341.6
92,0.55,46.3,467.26,45370.04,89.55,36.52,1.76,1638.93,29323.93
93,0.55,46.4,533.42,53437.12,79.49,37.77,0.22,1589.51,28907.2
94,0.55,47.7,524.1,26071.29,86.53,38.05,2.8,1608.76,29279.79
95,0.62,49.9,186.6,31976.97,80.56,35.11,4.61,1635.36,29100.79
96,0.62,50.4,50.8,30428.33,80.47,34.61,1,1668.66,28967.95
